DATE,CRSPLCV1,CRSPLCVT
20130701,1160.85,1187.06
20130702,1158.72,1185.26
20130703,1158.04,1184.57
20130705,1170.60,1197.42
20130708,1178.90,1206.49
20130709,1188.29,1216.12
20130710,1187.01,1214.81
20130711,1201.68,1229.99
20130712,1205.29,1233.68
20130715,1208.80,1237.28
20130716,1203.72,1232.08
20130717,1206.99,1235.66
20130718,1215.74,1244.84
20130719,1218.45,1247.63
20130722,1222.03,1251.33
20130723,1222.21,1251.52
20130724,1215.21,1244.37
20130725,1216.93,1246.15
20130726,1217.63,1246.88
20130729,1213.88,1243.08
20130730,1212.86,1242.10
20130731,1213.44,1242.99
20130801,1227.67,1257.72
20130802,1228.57,1258.64
20130805,1225.61,1255.67
20130806,1218.28,1248.20
20130807,1214.48,1244.79
20130808,1220.49,1250.97
20130809,1215.97,1246.73
20130812,1213.90,1244.67
20130813,1215.68,1246.94
20130814,1209.43,1240.79
20130815,1192.16,1223.37
20130816,1187.86,1219.05
20130819,1178.54,1209.59
20130820,1183.01,1214.22
20130821,1174.93,1205.94
20130822,1184.52,1215.79
20130823,1191.33,1223.08
20130826,1184.03,1215.59
20130827,1165.14,1196.20
20130828,1167.92,1199.28
20130829,1169.58,1201.12
20130830,1166.90,1198.39
20130903,1168.80,1200.37
20130904,1176.54,1208.75
20130905,1177.89,1210.16
20130906,1176.71,1209.19
20130909,1187.50,1220.34
20130910,1198.00,1231.15
20130911,1202.72,1236.12
20130912,1197.11,1230.75
20130913,1201.27,1235.04
20130916,1210.25,1244.28
20130917,1214.93,1249.12
20130918,1227.71,1262.27
20130919,1223.61,1258.36
20130920,1213.41,1247.89
20130923,1206.96,1241.26
20130924,1203.46,1237.67
20130925,1201.75,1235.95
20130926,1202.58,1237.20
20130927,1197.22,1231.83
20130930,1189.84,1224.25
20131001,1197.94,1232.72
20131002,1197.58,1232.70
20131003,1188.17,1223.01
20131004,1196.10,1231.18
20131007,1186.22,1221.02
20131008,1174.46,1209.55
20131009,1176.98,1212.22
20131010,1202.39,1238.62
20131011,1209.55,1246.00
20131014,1213.27,1249.83
20131015,1204.24,1240.53
20131016,1221.57,1258.62
20131017,1232.13,1269.59
20131018,1236.51,1274.11
20131021,1235.96,1273.58
20131022,1243.42,1281.27
20131023,1237.21,1274.88
20131024,1238.93,1276.68
20131025,1244.46,1282.38
20131028,1246.65,1284.64
20131029,1253.73,1291.99
20131030,1247.69,1285.89
20131031,1242.07,1280.20
20131101,1246.19,1284.46
20131104,1252.05,1290.51
20131105,1248.87,1287.32
20131106,1257.30,1296.66
20131107,1242.56,1281.89
20131108,1260.04,1299.97
20131111,1260.98,1300.94
20131112,1256.70,1296.59
20131113,1265.55,1306.21
20131114,1271.37,1312.55
20131115,1276.70,1318.06
20131118,1273.43,1314.78
20131119,1271.43,1313.10
20131120,1267.13,1308.69
20131121,1277.16,1319.15
20131122,1283.59,1326.08
20131125,1282.51,1325.00
20131126,1279.35,1321.90
20131127,1281.48,1324.28
20131129,1278.88,1321.61
20131202,1276.50,1319.19
20131203,1271.24,1313.80
20131204,1269.94,1312.94
20131205,1260.45,1303.18
20131206,1276.99,1320.47
20131209,1280.10,1323.76
20131210,1275.51,1319.02
20131211,1259.94,1302.99
20131212,1255.60,1298.78
20131213,1255.27,1298.47
20131216,1262.86,1306.32
20131217,1257.63,1300.93
20131218,1279.86,1323.96
20131219,1278.49,1322.86
20131220,1283.06,1327.59
20131223,1287.25,1332.06
20131224,1292.29,1337.37
20131226,1298.88,1344.20
20131227,1299.22,1344.99
20131230,1298.39,1344.21
20131231,1302.90,1349.03
20140102,1290.81,1336.84
20140103,1293.05,1339.18
20140106,1290.95,1337.00
20140107,1298.01,1344.32
20140108,1296.56,1343.44
20140109,1298.92,1345.88
20140110,1300.92,1347.95
20140113,1286.50,1333.17
20140114,1297.19,1344.26
20140115,1303.93,1351.27
20140116,1300.98,1348.27
20140117,1295.06,1342.17
20140121,1296.48,1343.69
20140122,1296.21,1343.65
20140123,1282.90,1329.85
20140124,1258.15,1304.22
20140127,1254.27,1300.25
20140128,1263.70,1310.02
20140129,1253.08,1299.15
20140130,1263.47,1310.03
20140131,1254.71,1300.95
20140203,1225.75,1270.93
20140204,1231.56,1277.03
20140205,1229.00,1274.97
20140206,1242.95,1289.96
20140207,1257.75,1305.32
20140210,1258.11,1305.74
20140211,1273.00,1321.23
20140212,1272.08,1321.16
20140213,1277.98,1327.51
20140214,1286.22,1336.16
20140218,1285.74,1336.01
